date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:17:46	27252/27252	---M--	200	added ('OK')	image/jpeg	etag:%226a74-5d67bab002270%22	http://learningexample.com/assets/images/anime/game-brs-5-1525x900.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-5-1525x900.jpg	(from http://learningexample.com/anime-index.html)
02:17:47	872/872	---M--	200	added ('OK')	image/png	etag:%22368-5d67baae87417%22	http://learningexample.com/assets/images/anime/avatar-user-2.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/avatar-user-2.png	(from http://learningexample.com/anime-index.html)
02:17:47	872/872	---M--	200	added ('OK')	image/png	etag:%22368-5d67baaeb5272%22	http://learningexample.com/assets/images/anime/avatar-user-3.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/avatar-user-3.png	(from http://learningexample.com/anime-index.html)
02:17:47	872/872	---M--	200	added ('OK')	image/png	etag:%22368-5d67baaeb8152%22	http://learningexample.com/assets/images/anime/avatar-user-4.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/avatar-user-4.png	(from http://learningexample.com/anime-index.html)
02:17:48	23461/23461	---MCZ	200	added ('OK')	text/html	etag:W/%225ba5-5d67ba9ed3d30%22	http://learningexample.com/anime-blog-post.html	E:/My%20Portfolio%20project/1/learningexample.com/anime-blog-post.html	(from http://learningexample.com/anime-index.html)
02:17:48	28722/28722	---M--	200	added ('OK')	image/jpeg	etag:%227032-5d67bab032fab%22	http://learningexample.com/assets/images/anime/game-brs-6-1920x1111.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-6-1920x1111.jpg	(from http://learningexample.com/anime-index.html)
02:17:49	3210/3210	---M--	200	added ('OK')	image/png	etag:%22c8a-5d67bab0cc4bc%22	http://learningexample.com/assets/images/anime/partner-logo-1.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/partner-logo-1.png	(from http://learningexample.com/anime-index.html)
02:17:49	7368/7368	---M--	200	added ('OK')	image/jpeg	etag:%221cc8-5d67bab06e8c5%22	http://learningexample.com/assets/images/anime/game-brs-7-500x375.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-7-500x375.jpg	(from http://learningexample.com/anime-index.html)
02:17:49	3210/3210	---M--	200	added ('OK')	image/png	etag:%22c8a-5d67bab0f1678%22	http://learningexample.com/assets/images/anime/partner-logo-2.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/partner-logo-2.png	(from http://learningexample.com/anime-index.html)
02:17:50	3210/3210	---M--	200	added ('OK')	image/png	etag:%22c8a-5d67bab0fd1f7%22	http://learningexample.com/assets/images/anime/partner-logo-3.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/partner-logo-3.png	(from http://learningexample.com/anime-index.html)
02:17:50	3210/3210	---M--	200	added ('OK')	image/png	etag:%22c8a-5d67bab121413%22	http://learningexample.com/assets/images/anime/partner-logo-4.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/partner-logo-4.png	(from http://learningexample.com/anime-index.html)
02:17:51	3210/3210	---M--	200	added ('OK')	image/png	etag:%22c8a-5d67bab12fe72%22	http://learningexample.com/assets/images/anime/partner-logo-5.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/partner-logo-5.png	(from http://learningexample.com/anime-index.html)
02:17:51	3210/3210	---M--	200	added ('OK')	image/png	etag:%22c8a-5d67bab15214e%22	http://learningexample.com/assets/images/anime/partner-logo-6.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/partner-logo-6.png	(from http://learningexample.com/anime-index.html)
02:17:51	3210/3210	---M--	200	added ('OK')	image/png	etag:%22c8a-5d67bab15ec6d%22	http://learningexample.com/assets/images/anime/partner-logo-7.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/partner-logo-7.png	(from http://learningexample.com/anime-index.html)
02:17:51	3210/3210	---M--	200	added ('OK')	image/png	etag:%22c8a-5d67bab17ffa9%22	http://learningexample.com/assets/images/anime/partner-logo-8.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/partner-logo-8.png	(from http://learningexample.com/anime-index.html)
02:17:52	3291/3291	---M--	200	added ('OK')	application/javascript	etag:%22cdb-5d67bad3398da%22	http://learningexample.com/assets/vendor/object-fit-images/dist/ofi.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/object-fit-images/dist/ofi.min.js	(from http://learningexample.com/anime-index.html)
02:17:52	34469/34469	---M--	200	added ('OK')	image/jpeg	etag:%2286a5-5d67bab092ae2%22	http://learningexample.com/assets/images/anime/game-brs-8-1920x1080.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/game-brs-8-1920x1080.jpg	(from http://learningexample.com/anime-index.html)
02:17:54	7457/7457	---M--	200	added ('OK')	application/javascript	etag:%221d21-5d67bac76a30e%22	http://learningexample.com/assets/vendor/HexagonProgress/jquery.hexagonprogress.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/HexagonProgress/jquery.hexagonprogress.min.js	(from http://learningexample.com/anime-index.html)
02:17:54	19654/19654	---M--	200	added ('OK')	image/jpeg	etag:%224cc6-5d67baaf19bc8%22	http://learningexample.com/assets/images/anime/footer-bg.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/footer-bg.jpg	(from http://learningexample.com/anime-index.html)
02:17:57	15211/15211	---M--	200	added ('OK')	application/javascript	etag:%223b6b-5d67bace48efb%22	http://learningexample.com/assets/vendor/jarallax/dist/jarallax.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/jarallax/dist/jarallax.min.js	(from http://learningexample.com/anime-index.html)
02:17:58	5339/5339	---M--	200	added ('OK')	application/javascript	etag:%2214db-5d67bacf98dd9%22	http://learningexample.com/assets/vendor/jquery-countdown/dist/jquery.countdown.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/jquery-countdown/dist/jquery.countdown.min.js	(from http://learningexample.com/anime-index.html)
02:17:59	39680/39680	---M--	200	added ('OK')	application/javascript	etag:%229b00-5d67badb3766a%22	http://learningexample.com/assets/vendor/bootstrap/dist/js/bootstrap.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap/dist/js/bootstrap.min.js	(from http://learningexample.com/anime-index.html)
02:18:03	54063/54063	---M--	200	added ('OK')	application/javascript	etag:%22d32f-5d67bacaf5652%22	http://learningexample.com/assets/vendor/flickity/dist/flickity.pkgd.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/flickity/dist/flickity.pkgd.min.js	(from http://learningexample.com/anime-index.html)
02:18:06	53324/53324	---M--	200	added ('OK')	application/javascript	etag:%22d04c-5d67bad203fd9%22	http://learningexample.com/assets/vendor/moment/min/moment.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/moment/min/moment.min.js	(from http://learningexample.com/anime-index.html)
02:18:06	20216/20216	---M--	200	added ('OK')	application/javascript	etag:%224ef8-5d67bad0cf679%22	http://learningexample.com/assets/vendor/magnific-popup/dist/jquery.magnific-popup.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/magnific-popup/dist/jquery.magnific-popup.min.js	(from http://learningexample.com/anime-index.html)
02:18:18	64989/64989	---M--	200	added ('OK')	application/javascript	etag:%22fddd-5d67bad60f1f0%22	http://learningexample.com/assets/vendor/slider-revolution/js/jquery.themepunch.revolution.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/js/jquery.themepunch.revolution.min.js	(from http://learningexample.com/anime-index.html)
02:18:19	5594/5594	---M--	200	added ('OK')	application/javascript	etag:%2215da-5d67bac7606cf%22	http://learningexample.com/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/imagesloaded/imagesloaded.pkgd.min.js	(from http://learningexample.com/anime-index.html)
02:18:25	110419/110419	---M--	200	added ('OK')	application/javascript	etag:%221af53-5d67bad644d4b%22	http://learningexample.com/assets/vendor/slider-revolution/js/jquery.themepunch.tools.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/js/jquery.themepunch.tools.min.js	(from http://learningexample.com/anime-index.html)
02:18:25	35445/35445	---M--	200	added ('OK')	application/javascript	etag:%228a75-5d67bacd26e78%22	http://learningexample.com/assets/vendor/isotope-layout/dist/isotope.pkgd.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/isotope-layout/dist/isotope.pkgd.min.js	(from http://learningexample.com/anime-index.html)
02:18:26	7729/7729	---M--	200	added ('OK')	application/javascript	etag:%221e31-5d67baca9f75a%22	http://learningexample.com/assets/vendor/bootstrap-validator/dist/validator.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap-validator/dist/validator.min.js	(from http://learningexample.com/anime-index.html)
02:18:28	16651/16651	---M--	200	added ('OK')	application/javascript	etag:%22410b-5d67bac96bd9a%22	http://learningexample.com/assets/vendor/bootstrap-sweetalert/dist/sweetalert.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap-sweetalert/dist/sweetalert.min.js	(from http://learningexample.com/anime-index.html)
02:18:28	9700/9700	---M--	200	added ('OK')	application/javascript	etag:%2225e4-5d67bad78234a%22	http://learningexample.com/assets/vendor/social-likes/dist/social-likes.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/social-likes/dist/social-likes.min.js	(from http://learningexample.com/anime-index.html)
02:18:28	185367/185367	---M--	200	added ('OK')	application/javascript	etag:%222d417-5d67bad20ebb8%22	http://learningexample.com/assets/vendor/moment-timezone/builds/moment-timezone-with-data.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/moment-timezone/builds/moment-timezone-with-data.min.js	(from http://learningexample.com/anime-index.html)
02:18:29	5341/5341	---M--	200	added ('OK')	application/javascript	etag:%2214dd-5d67baada4b2e%22	http://learningexample.com/assets/js/youplay-init.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/js/youplay-init.js	(from http://learningexample.com/anime-index.html)
02:18:30	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-5d67bada879fb%22	http://learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.html	(from http://learningexample.com/assets/vendor/bootstrap/dist/css/bootstrap.min.css)
02:18:32	26480/26480	---M--	200	added ('OK')	application/javascript	etag:%226770-5d67baadd6809%22	http://learningexample.com/assets/js/youplay.min.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/js/youplay.min.js	(from http://learningexample.com/anime-index.html)
02:18:32	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5d67bada24fe5%22	http://learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.eot	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.eot	(from http://learningexample.com/assets/vendor/bootstrap/dist/css/bootstrap.min.css)
02:18:33	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5d67bada24fe5%22	http://learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.eot?	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://learningexample.com/assets/vendor/bootstrap/dist/css/bootstrap.min.css)
02:18:34	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-5d67bada25f85%22	http://learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	(from http://learningexample.com/assets/vendor/bootstrap/dist/css/bootstrap.min.css)
02:18:38	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f68-5d67badff348e%22	http://learningexample.com/assets/vendor/slider-revolution/fonts/revicons/revicons.eot?5510888	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/fonts/revicons/revicons90c6.eot	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:39	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-5d67bada59ba0%22	http://learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	(from http://learningexample.com/assets/vendor/bootstrap/dist/css/bootstrap.min.css)
02:18:40	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%221d70-5d67bae044566%22	http://learningexample.com/assets/vendor/slider-revolution/fonts/revicons/revicons.woff?5510888	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/fonts/revicons/revicons90c6.woff	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:40	13585/13585	---M--	200	added ('OK')	image/svg+xml	etag:%223511-5d67bae01576b%22	http://learningexample.com/assets/vendor/slider-revolution/fonts/revicons/revicons.svg?5510888	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/fonts/revicons/revicons90c6.svg	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:40	326/326	---M--	200	added ('OK')	text/html	etag:%22146-5d67bad4cfcb1%22	http://learningexample.com/assets/vendor/slider-revolution/css/openhand.cur	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/css/openhand.html	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:41	326/326	---M--	200	added ('OK')	text/html	etag:%22146-5d67bad479db9%22	http://learningexample.com/assets/vendor/slider-revolution/css/closedhand.cur	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/css/closedhand.html	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:41	11968/11968	---M--	200	added ('OK')	application/font-sfnt	etag:%222ec0-5d67bae023229%22	http://learningexample.com/assets/vendor/slider-revolution/fonts/revicons/revicons.ttf?5510888	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/fonts/revicons/revicons90c6.ttf	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:42	45404/45404	---M--	200	added ('OK')	application/font-sfnt	etag:%22b15c-5d67bada57c60%22	http://learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	(from http://learningexample.com/assets/vendor/bootstrap/dist/css/bootstrap.min.css)
02:18:42	933/933	---M--	200	added ('OK')	image/png	etag:%223a5-5d67bad31a4dd%22	http://learningexample.com/assets/vendor/slider-revolution/assets/gridtile.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/assets/gridtile.png	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:42	951/951	---M--	200	added ('OK')	image/png	etag:%223b7-5d67bad3780d4%22	http://learningexample.com/assets/vendor/slider-revolution/assets/gridtile_white.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/assets/gridtile_white.png	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:43	938/938	---M--	200	added ('OK')	image/png	etag:%223aa-5d67bad3492d8%22	http://learningexample.com/assets/vendor/slider-revolution/assets/gridtile_3x3.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/assets/gridtile_3x3.png	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:43	935/935	---M--	200	added ('OK')	image/png	etag:%223a7-5d67bad38b952%22	http://learningexample.com/assets/vendor/slider-revolution/assets/gridtile_3x3_white.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/assets/gridtile_3x3_white.png	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:43	184/184	---M--	200	added ('OK')	image/png	etag:%22b8-5d67bad2eb6e2%22	http://learningexample.com/assets/vendor/slider-revolution/assets/coloredbg.png	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/assets/coloredbg.png	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:18:44	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-5d67bad3bc68d%22	http://learningexample.com/assets/vendor/slider-revolution/assets/loader.gif	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/slider-revolution/assets/loader.gif	(from http://learningexample.com/assets/vendor/slider-revolution/css/settings.css)
02:19:10	1212908/1212908	---M--	200	added ('OK')	application/javascript	etag:%221281ec-5d67bacc8ba28%22	http://learningexample.com/assets/vendor/fontawesome-free/js/all.js	E:/My%20Portfolio%20project/1/learningexample.com/assets/vendor/fontawesome-free/js/all.js	(from http://learningexample.com/anime-index.html)
02:19:12	142965/142965	---M--	200	added ('OK')	text/css	etag:%2222e75-5d67baab52f6a%22	http://learningexample.com/assets/css/youplay.css	E:/My%20Portfolio%20project/1/learningexample.com/assets/css/youplay.css	(from http://learningexample.com/index.html)
02:19:13	34451/34451	---M--	200	added ('OK')	image/jpeg	etag:%228693-5d67bab18f9a8%22	http://learningexample.com/assets/images/anime/site-background.jpg	E:/My%20Portfolio%20project/1/learningexample.com/assets/images/anime/site-background.jpg	(from http://learningexample.com/assets/css/custom-anime.css)
02:19:13	67079/67079	---MCZ	200	added ('OK')	text/html	etag:W/%2210607-5d67baa84e859%22	http://learningexample.com/store-1.html	E:/My%20Portfolio%20project/1/learningexample.com/store-1.html	(from http://learningexample.com/index.html)
02:19:14	71084/71084	---MCZ	200	added ('OK')	text/html	etag:W/%22115ac-5d67baa8555b8%22	http://learningexample.com/store-2.html	E:/My%20Portfolio%20project/1/learningexample.com/store-2.html	(from http://learningexample.com/index.html)
02:19:14	38431/38431	---MCZ	200	added ('OK')	text/html	etag:W/%22961f-5d67ba9fad97a%22	http://learningexample.com/cart.html	E:/My%20Portfolio%20project/1/learningexample.com/cart.html	(from http://learningexample.com/index.html)
02:19:14	56928/56928	---MCZ	200	added ('OK')	text/html	etag:W/%22de60-5d67baa87f594%22	http://learningexample.com/store-product-1.html	E:/My%20Portfolio%20project/1/learningexample.com/store-product-1.html	(from http://learningexample.com/index.html)
02:19:15	62816/62816	---MCZ	200	added ('OK')	text/html	etag:W/%22f560-5d67baa885354%22	http://learningexample.com/store-product-2.html	E:/My%20Portfolio%20project/1/learningexample.com/store-product-2.html	(from http://learningexample.com/index.html)
02:19:15	53680/53680	---MCZ	200	added ('OK')	text/html	etag:W/%22d1b0-5d67ba9fcecb7%22	http://learningexample.com/checkout.html	E:/My%20Portfolio%20project/1/learningexample.com/checkout.html	(from http://learningexample.com/index.html)
02:19:16	41348/41348	---MCZ	200	added ('OK')	text/html	etag:W/%22a184-5d67ba9f1b1c9%22	http://learningexample.com/blog-1.html	E:/My%20Portfolio%20project/1/learningexample.com/blog-1.html	(from http://learningexample.com/index.html)
